meanECG,HR,HrvHf,HrvLf,HrvLfHf,HrvPnn50,HrvRmssd,HrvSd1,HrvSd2,HrvSd2Sd1,HrvSdnn,HrvSdsd,meanEYELIDOPENING,meanFILTEREDPUPILDIAMETER,varECG,varEYELIDOPENING,varFILTEREDPUPILDIAMETER,meandECG,meand2ECG,meandEYELIDOPENING,meand2EYELIDOPENING,meandFILTEREDPUPILDIAMETER,meand2FILTEREDPUPILDIAMETER,skwdECG,skwd2ECG,skwdEYELIDOPENING,skwd2EYELIDOPENING,skwdFILTEREDPUPILDIAMETER,skwd2FILTEREDPUPILDIAMETER,kurtdECG,kurtd2ECG,kurtdEYELIDOPENING,kurtd2EYELIDOPENING,kurtdFILTEREDPUPILDIAMETER,kurtd2FILTEREDPUPILDIAMETER,mindECG,mind2ECG,mindEYELIDOPENING,mind2EYELIDOPENING,mindFILTEREDPUPILDIAMETER,mind2FILTEREDPUPILDIAMETER,maxdECG,maxd2ECG,maxdEYELIDOPENING,maxd2EYELIDOPENING,maxdFILTEREDPUPILDIAMETER,maxd2FILTEREDPUPILDIAMETER,meanPSDdECG,meanPSDd2ECG,meanPSDdEYELIDOPENING,meanPSDd2EYELIDOPENING,meanPSDdFILTEREDPUPILDIAMETER,meanPSDd2FILTEREDPUPILDIAMETER,skwPSDdECG,skwPSDd2ECG,skwPSDdEYELIDOPENING,skwPSDd2EYELIDOPENING,skwPSDdFILTEREDPUPILDIAMETER,skwPSDd2FILTEREDPUPILDIAMETER,kurtPSDdECG,kurtPSDd2ECG,kurtPSDdEYELIDOPENING,kurtPSDd2EYELIDOPENING,kurtPSDdFILTEREDPUPILDIAMETER,kurtPSDd2FILTEREDPUPILDIAMETER,minPSDdECG,minPSDd2ECG,minPSDdEYELIDOPENING,minPSDd2EYELIDOPENING,minPSDdFILTEREDPUPILDIAMETER,minPSDd2FILTEREDPUPILDIAMETER,maxPSDdECG,maxPSDd2ECG,maxPSDdEYELIDOPENING,maxPSDd2EYELIDOPENING,maxPSDdFILTEREDPUPILDIAMETER,maxPSDd2FILTEREDPUPILDIAMETER,prct5dECG,prct5d2ECG,prct5dEYELIDOPENING,prct5d2EYELIDOPENING,prct5dFILTEREDPUPILDIAMETER,prct5d2FILTEREDPUPILDIAMETER,prct25dECG,prct25d2ECG,prct25dEYELIDOPENING,prct25d2EYELIDOPENING,prct25dFILTEREDPUPILDIAMETER,prct25d2FILTEREDPUPILDIAMETER,prct75dECG,prct75d2ECG,prct75dEYELIDOPENING,prct75d2EYELIDOPENING,prct75dFILTEREDPUPILDIAMETER,prct75d2FILTEREDPUPILDIAMETER,prct95dECG,prct95d2ECG,prct95dEYELIDOPENING,prct95d2EYELIDOPENING,prct95dFILTEREDPUPILDIAMETER,prct95d2FILTEREDPUPILDIAMETER,Microsleep
2220.98369817183,97.7010598701313,135.377630000002,519.060519999999,3.83417000000006,0.529100000000012,17.4290999999998,12.3564000000001,36.38449,2.94459000000003,27.1708599999994,17.4745899999999,0.0113565334665336,0.152433356643357,22867.0145706231,4.5076870711288e-06,0.0388342280987215,0.0266666700000001,-0.0216731831831833,4.21e-06,0,0.0001674,-0.000134124124124124,-1.89628896437535,-1.38429316964312,0.0122117975782494,-0.258205793166411,0.611335499901758,-1.36899217704353,19.0668270861884,17.6202238470524,8.11743058145384,5.80564959140865,22.0445409390053,20.6468830818971,-651.29545,-673.14395,-0.00527,-0.01001,-0.99259,-1.98518,437.18182,541.86363,0.0054,0.01054,0.99259,1.26745,4081.95436151751,4551.00548347085,7.79575443109004e-07,1.74167625653406e-06,0.00656533545195127,0.0160573289923112,2.49001474955452,3.13358204404816,1.85225915631424,2.64905844149527,2.05260431112035,2.70918619055644,9.76243553534289,15.3910470837142,6.71729362137454,12.2999475964042,8.66364218833405,12.3609264423964,0.113176876715118,0.0182775688634866,1.41536256598816e-10,1.07869253483223e-39,1.07495922748929e-06,5.23755433814962e-07,39344.3739323791,59332.4293067294,4.93041077102132e-06,1.85849516492112e-05,0.0522570361682087,0.172376870804986,-55.06061,-45.2867409999998,-0.0038,-0.00474,-0.143515,-0.240838,-7.9697000000001,-11.6875024999998,0,-0.000529999999999999,0,-0.00740249999999999,15.6628800000001,11.16666,0,0.000530000000000001,0,0.0131375,70.2045450000001,161.746586999999,0.0038,0.00474,0.14589,0.2732275,1
2222.02078223776,65.1160449450547,1756.76750999997,3662.51928000002,2.08481000000002,35.7664199999999,58.656710000001,41.6285700000006,90.6693099999986,2.17804999999999,70.5473599999985,58.87169,0.0068512987012987,0.104934445554446,2659.99276024736,2.89321811168828e-06,0.0492304860751173,-0.0509166700000001,0.00076590590590588,6.35e-06,0,0,-1.11133435898414e-19,-1.89498079430534,-3.3123835288687,-3.6888654042599,-1.43004346845381,0.352614341844495,-0.311175884088576,23.3128067050475,36.2655740855387,124.22100694551,70.0914325682245,24.5588462136539,13.3018217905448,-234.27273,-303.15152,-0.01034,-0.01105,-0.99296,-1.28305,170.60606,181.54546,0.00531,0.01034,0.99296,0.99296,364.092244604449,456.173583168515,1.16017722334263e-07,2.58493783193534e-07,0.00714091986338602,0.0153346901436309,3.94930054645961,3.20552570521979,1.62104643132863,2.48306091810846,1.61329984219563,1.98341071353324,28.1856559194122,16.8458855539421,5.91650616793827,11.2041632100985,5.38115851781833,7.11818016061639,0.00651782580717704,9.3268814493689e-05,1.83927552997393e-11,0,7.84694452986695e-36,3.14191973167846e-35,6856.60769017304,6739.9497296009,6.32324333436133e-07,2.49002419607206e-06,0.0405831683155992,0.107767280034344,-27.0151550000001,-16.2087134999998,-0.0003,-0.00056,-0.13805,-0.270853,-0.98484499999995,-2.19507750000037,0,0,0,0,4.85227499999996,2.41667499999994,0,0,0,0,18.0530299999998,28.1564414999997,0.0003,0.00058,0.121785,0.295413499999999,1
2215.41095257742,60.9922212087911,1376.49644999998,3713.67640999995,2.69792000000003,39.0625,63.8416700000012,45.3143100000009,96.4699600000012,2.12890999999996,75.3652399999993,64.0841100000016,0.00794337662337664,0.425055144855145,3013.62688778618,1.0998310587013e-05,0.193640797112601,0.07875,0.00276792792792785,3.3e-07,-3.95395395395395e-06,-1.11022302462516e-19,0,-2.62541226270481,-4.03319805933823,-0.0363241271393381,0.303926688316294,-0.0586805071790642,0.0685336365803116,36.837580169486,50.4518290485994,39.6201013707567,20.1031102198511,23.5829675595245,16.3666104849304,-378.27273,-488.75758,-0.00738,-0.00859,-0.99204,-1.84396,247.96969,316.37878,0.00859,0.00859,0.99204,1.61387,609.111480495741,936.881089395581,2.39250647455645e-07,4.99408148757446e-07,0.00833934100263977,0.0182538180685363,2.78218978715549,2.60391185126156,2.19532163194361,2.27248595935706,1.74788760071191,2.3296142260423,11.5701092095581,11.0215254637004,10.2245859062747,9.607908426555,6.4075546246736,9.92142090009743,0.487148992662337,0.00121813430847616,1.73319733027071e-11,2.51658766711409e-11,3.13877781194678e-35,1.25676789267138e-34,5704.53175182946,8653.55576394182,1.86787375098165e-06,4.55481476904159e-06,0.0532852443395832,0.164450437498263,-26.36364,-15.111743,-0.000985,-0.00144,-0.127595,-0.2976245,-0.727274999999963,-1.80302749999976,0,-0.000219999999999999,0,-0.0017925,3.92423999999983,2.06250000000011,0,0.000179999999999999,0,0,14.7878799999999,19.7401540000001,0.00098,0.001351,0.11313,0.3071015,1
2218.4651105994,90.8175967532471,79.2573700000007,704.048140000002,8.8830600000001,0,14.6067500000003,10.3569000000001,40.7107000000004,3.93078000000005,29.7037600000003,14.6468600000003,0.0104877322677323,0.826335784215781,8160.59181766011,2.24853815224774e-06,0.0771141371918094,0.0485833400000001,0.0114432632632635,8.5e-07,0,-7.746e-05,0,-1.05721739220993,-2.30970168914874,-0.125798288223114,-0.433967632627555,-0.0574846177939035,0.25471451653384,21.65407453577,24.0416086707822,10.959484169184,7.63160069056822,23.5006806346923,11.4427595433157,-553.08333,-777.67424,-0.00212,-0.00277,-0.97119,-0.96361,432.65909,459.71969,0.00206,0.0022,0.91461,0.97119,2354.56974824722,3860.51030977242,4.18797544915617e-08,8.79359804539286e-08,0.00516167629555284,0.0107379176312507,3.93659010166701,3.36098584509382,1.36004956123753,2.15450989551135,3.00272332189691,3.1468455198338,24.83771342655,17.8796831592156,4.87990166189114,9.34140241614574,19.0751678021806,18.2499239537565,0.195846309914555,0.00801641591456214,3.81427153558633e-11,4.79418904369882e-40,9.54937870946438e-07,3.14191973167846e-35,35762.5664860788,52521.5190670225,2.16138376019568e-07,7.58513342522817e-07,0.0588327968210502,0.133634747348715,-48.7878800000001,-49.6666679999999,-0.00068,-0.0008455,-0.154835,-0.2936915,-7.23484999999982,-10.732965,0,-6.50000000000008e-05,0,-0.01228,9.76893500000006,9.30113249999988,0,0.00012,0,0.010555,57.7575749999999,116.5409135,0.00068,0.00084,0.13659,0.303720999999999,1
2220.84438303696,85.5065523376627,265.255231168827,1950.90196298703,7.34788727272723,5.64289376623386,24.2830644155851,17.2204571428575,66.8486084415595,3.88352623376617,48.8128406493495,24.3534048051955,0.00886564435564437,0.73809857142857,12808.266558557,4.92138520939064e-06,0.146788001491457,0.0921666700000001,-0.0152273473473475,6.68e-06,-5.55555555555556e-06,0.0009732,9.4954954954955e-05,-1.62900675780481,-2.93864841070306,-0.0116032276895718,-0.743071826039682,-0.77756614371258,0.613419009357621,24.6880274305994,27.7498697244389,16.7891084558448,15.3039890781166,34.2072179788353,25.925643437763,-535.23485,-660.916670000001,-0.00597,-0.01047,-0.98683,-1.25769,399.97727,383.5606,0.00555,0.00597,0.949,1.93583,2129.72878244307,2577.8595545065,1.72575044752545e-07,3.73950220006699e-07,0.00517972068782339,0.0118694510008815,2.45964314782305,2.85946781660451,1.63296836034803,1.88557194967605,2.74386380189491,2.77117736098142,10.0468385120528,13.3803683951196,6.02490567032753,6.71261287244198,12.9741167307468,14.006017512533,0.131309585762773,0.00363267840945488,2.32380404631418e-10,3.21967351575767e-10,1.62588206783055e-05,2.26902981092136e-07,21356.9940580712,28946.4377396173,9.59485164579519e-07,2.59447416636453e-06,0.0514889027751556,0.154920113142145,-23,-19.8363719999997,-0.00125,-0.001734,-0.05399,-0.1780945,-4.6136399999998,-5.11742249999986,0,-0.00032,0,-0.00323000000000001,8.81817999999976,6.37499500000001,0,0.000380000000000001,0,0.00282000000000004,22.6818199999998,66.6564369999998,0.001215,0.00162,0.08453,0.187601999999999,1
2215.51315357642,101.085523936062,136.616039999997,498.663910000003,3.65011000000003,1.59573999999998,15.4056400000004,10.91278,36.4860400000002,3.34342000000004,26.9287900000007,15.4330000000004,0.00973096903096908,0.233120879120879,9954.47671431455,1.98891560039957e-07,0.129498033290027,-0.0144166599999999,0.0164027627627627,3.05e-06,-7.3073073073073e-07,0.00058748,0.000412532532532532,-0.127814571189092,-3.13982339766471,0.125729742385819,0.290395210477621,0.128613250783657,-0.146774332751213,16.1250197603024,25.1344212718402,12.2142990658979,8.36472512310445,6.61253371119068,5.46191902219637,-413.59091,-618.20454,-0.00214,-0.00314,-0.98706,-1.9581,399.16667,297.96969,0.00283,0.00312,0.9869,1.97274,1960.52261425586,2698.53606938538,5.08671875914279e-08,1.14460882826429e-07,0.038284736123709,0.0913864816379363,3.07868637189498,3.11053422939959,3.2584822679321,2.47542323672032,3.24775174429813,3.14091288288247,13.2348988368271,14.3507755974146,19.1480751052717,10.9553688421965,16.5396710396407,15.7771928775406,0.0330787769888156,0.0427779163727825,1.55987759724368e-10,1.67134810206572e-11,3.26344201253734e-05,1.93079542847764e-06,22660.6365825324,34148.3355894418,6.04980680967151e-07,1.18134576756214e-06,0.417034311932881,1.09624346616389,-57.7121199999999,-39.504546,-0.00069,-0.000960000000000001,-0.82247,-0.9767,-5.54545000000007,-7.29545750000011,0,0,0,-0.11261,11.5454599999998,8.54166499999963,0,0,0,0.11779,29.4242450000002,111.219323,0.00069,0.000895499999999999,0.865695,0.97521,1
2222.3337799001,72.151881198803,1625.67234094902,2597.94248813187,1.6077862737263,26.2306212187807,53.9808095104889,38.3054958341658,91.697993686313,2.39393100899106,70.2726270229774,54.1721507092914,0.00798686313686318,0.101453416583416,22808.6007813971,1.07691351502497e-05,0.0454072434415146,0.02475,0.00396608608608623,-1.058e-05,-8.6822996795636e-22,0,-2.22266871796828e-19,-2.07474469345784,-2.05657157495915,0.364751196833502,-0.0803244503365814,-0.226598373487557,-0.293393291571157,25.5127835394927,24.486531029515,19.7667853698205,12.217365861664,15.9577273993518,10.2476740807818,-729.28788,-793.795459999999,-0.01133,-0.01144,-0.94294,-1.32961,503.89394,592.96213,0.01144,0.01204,0.94294,1.3596,3719.85004645881,4097.18338209299,7.20432128982241e-07,1.59030784752087e-06,0.00825706977229499,0.0188202657234088,3.02924878415001,2.85266703968536,1.71303121069153,2.64501198190757,2.18772901417507,2.3022744730981,13.7713722421674,12.0106000322125,6.25401372614923,13.0023496557366,9.3350625815225,10.3115488298758,0.0580245874677091,0.00250097812417669,5.06433787373776e-09,0,3.13877781194678e-35,5.02707157068553e-34,46054.1018377532,43036.2530763658,4.24148539790081e-06,1.65864245201076e-05,0.0593798430742032,0.178739076539023,-52.9848500000001,-34.6856084999997,-0.001545,-0.0037565,-0.185365,-0.4149095,-3.39393500000006,-7.96023750000029,0,-0.00031,0,0,11.7727300000001,7.34848750000015,0,0.00033,0,0,45.2272699999999,113.1568135,0.001285,0.00398999999999999,0.20261,0.42485,1
2218.21508048951,69.7450523376623,1249.81756000002,3846.57512999991,3.07771000000002,32.8244300000004,54.8578100000009,38.9382400000002,87.1910700000007,2.23920999999999,67.5221099999996,55.0669800000011,0.00745994005994003,0.552511168831169,14880.3272780735,1.4895149964036e-06,0.124169717996933,-0.154,-3.03303303302276e-05,-3.4e-06,0,0.00011141,-3.33400307695242e-19,-2.23669734073069,-1.28652467946258,0.108896391593834,2.38798528273243,-0.275572255536143,0.174364211566404,26.1978640036203,21.3291936299783,51.8974778143459,62.8437128269709,10.242697345217,6.81804590052895,-689.72727,-682.54545,-0.00411,-0.00506,-0.98539,-1.59005,362.17424,493.11363,0.00506,0.00917,0.95839,1.73399,1948.5562399945,2205.23650165412,5.33814768025368e-08,1.21447600949076e-07,0.0128290156664351,0.0287350231745323,3.27072636021219,3.0650550552233,2.17863819574762,2.27658943358929,1.87707724370428,2.07981725615602,18.0471253881558,15.1640686267845,8.50445944385343,9.18208878965024,7.19991305576305,7.97381573345942,2.03001640429104,1.46264826526582e-07,4.23988768396811e-11,1.91767561747953e-39,1.97546109070139e-06,2.82772775851061e-34,28463.3910265069,26096.3712695087,3.47264306017976e-07,1.04160358564211e-06,0.0819895448846958,0.229438647822762,-60.5,-37.7579470000003,-0.00046,-0.000710000000000001,-0.31806,-0.507536,-0.909090000000106,-2.49810749999995,0,-0.00023,0,-0.1012775,9.99242500000014,3.39772999999946,0,0.000230000000000001,0.00149499999999997,0.09185,41.3333400000001,64.0886444999997,0.0005,0.000709999999999999,0.31584,0.527929,1
2217.64338707293,64.4149774625365,1024.17235999999,2801.10246999997,2.73498999999996,37.0078700000006,58.1349699999993,41.2683200000001,76.5154600000001,1.85410000000001,61.472309999999,58.3622200000011,0.00841840159840151,0.730723596403596,12851.3826696144,4.71382224255745e-06,0.144687854076453,0.0153333299999999,-0.0393878778778782,2.49999999999999e-07,0,1.533e-05,1.11133435898414e-19,-1.95244805365312,-3.10259440689429,-1.31576317392093,1.04097066222133,-0.23172202546973,-0.17743089679136,23.7683556533102,30.7671066422209,46.9552449504714,29.2546598719534,68.4051347744689,35.2436973971027,-473.63636,-519.74243,-0.00849,-0.00849,-0.98962,-1.06982,323.20455,326.42423,0.00776,0.01158,0.96236,0.98962,1593.68209917541,1450.23377184233,2.3087482998688e-07,5.1224989204529e-07,0.00354073551304671,0.00707834683970413,3.65138685194767,3.39145862670108,1.79010540179912,2.70108048762481,1.63117544459543,2.69171240320298,22.0368389023028,16.8864310642209,7.34425010320769,13.3088623446127,5.76152261595978,12.5919649503635,0.0280187331383995,0.00423239503636822,9.94718394324348e-12,0,3.74028281055865e-08,4.90924958074759e-35,27186.7917764552,18724.3745500415,1.50336102867407e-06,5.99903336610024e-06,0.0187851500892566,0.0663360359092238,-35.7727300000001,-12.1534070000002,-0.000935,-0.0013755,-0.030975,-0.0623025,-0.837125000000015,-2.63256999999999,0,0,0,-0.00642999999999999,8.92803499999991,2.65909500000009,0,0,0,0.00684749999999995,17.0946999999999,51.3439389999996,0.001035,0.00138,0.035085,0.063334,1
2220.8295264036,72.3800511888106,257.320750000006,2662.91926999997,10.3486400000001,8.5106400000002,32.25,22.8854900000003,69.4837899999988,3.03614999999994,51.72883,32.3649699999995,0.0108138761238761,0.540403496503497,10179.3093324826,3.90462356063936e-06,0.0779610051561621,0.14416667,-0.061622222222222,1.76e-06,2.4024024024024e-07,4.79099999999999e-05,0.000121121121121121,-2.82087551370025,-2.59151375676398,-1.90988406184693,0.13823151363734,-0.016685909236515,-0.231391845014336,27.0721257758637,28.8285036003461,80.2439607926095,37.3493154250166,9.51180730979479,5.8897841141541,-478.09091,-502.57575,-0.00897,-0.00897,-0.99082,-1.16527,288.96969,337.04546,0.00577,0.00865,0.96507,1.0244,1429.14195848546,1483.03451339334,1.05870373469429e-07,2.22927135236215e-07,0.00897138038309984,0.0205668440205468,3.4074694850739,3.05314534941458,1.46202531059603,1.9968063036332,2.94446937143805,3.01913877723156,17.1296890240481,14.1724683024865,5.29557792974095,7.45035861659428,16.9616926675985,16.5581165187374,0.0083072303859464,0.0105029321619307,4.66619956818393e-10,1.9098091381901e-12,3.65319179330454e-07,1.05066852002379e-06,21808.0325292245,20279.9625932256,5.48899330648884e-07,1.78699076738773e-06,0.0931711870227067,0.248405574356613,-50.18182,-20.2920395000002,-0.000784999999999999,-0.0010865,-0.296465,-0.436688,-0.181819999999789,-2.09659499999987,0,-0.000240000000000001,0,-0.1021075,9.20833500000003,2.00001000000009,0,0.000240000000000001,0,0.1045225,49.1136349999999,53.0337104999995,0.00081,0.001052,0.28888,0.410243,1
2216.5241577023,75.5103492207783,861.1905275025,1846.39064983022,2.14904908091913,22.2676401798202,41.3390830169833,29.3221420879126,75.6146983216782,2.57736192807195,57.3477716583429,41.467767672328,0.00992308691308683,0.820890489510491,5112.70749684567,1.61061616143857e-06,0.06576216591246,0.10041667,-0.00583159159159131,-1.7e-07,0,-8.48999999999989e-06,-1.11133435898414e-19,-2.49230546087422,-1.02462488497327,-0.0634404154664418,-0.191578182584181,-0.829031412076724,0.0416825858430061,24.5224717681256,21.4784578045895,11.167110020141,6.43912839889781,44.7540145001194,20.9741650877121,-377,-404.16668,-0.00233,-0.00233,-0.98857,-1.00488,224.62122,328.09091,0.00175,0.00196,0.97641,0.98857,922.380056607481,1142.39843703726,3.42128291478956e-08,7.39447357938717e-08,0.00411648288446593,0.00857777473145386,6.2888660107148,4.5382865675221,2.76514454252374,3.69357283958457,2.13211965628972,2.59829587219013,72.1954055818778,37.1032117169753,15.6725472501464,25.5494204437682,10.6864670335585,13.0945434104236,0.22514102477222,5.94540323061041e-06,4.59957785535578e-12,1.1985472609247e-40,1.14719042135566e-08,1.96369983229904e-34,25652.5769339979,24393.810071776,3.31349153639722e-07,1.17871969812414e-06,0.0341644754859211,0.0918344327577876,-39.81818,-36.3473445000001,-0.00055,-0.00081,-0.112425,-0.1868145,-4.66666499999997,-9.1496149999997,0,-0.00017,0,-0.0292275,8.45833500000003,7.090915,0,0.00017,0,0.0295225,48.67803,47.0765174999999,0.00063,0.00081,0.124995,0.1827635,1
2218.36421153846,88.2056413186814,324.512639999995,786.871380000016,2.42478000000001,8.75,28.4253400000006,20.1604000000004,48.8761900000007,2.42437,37.3853200000006,28.5111099999997,0.0135877222777221,0.946375074925075,17515.4044462196,3.52476540679324e-06,0.0189530384258194,0.33491667,0.282562862862863,-1.10000000000001e-07,0,-0.00098918,1.11133435898414e-19,-1.72078514508302,-1.66159290755876,-0.00553213804705102,-0.263230962483613,-0.918565473852538,2.35826521506336,20.0110467111539,20.2065532928048,11.9191344006674,10.1501651491054,69.6814986351441,57.8095464777408,-599.27272,-644.22727,-0.00258,-0.00378,-0.98761,-0.98761,426.18182,482.66667,0.00217,0.00336,0.96419,1.9518,3055.10967050363,3343.95199145194,5.60054323942069e-08,1.3400533182219e-07,0.00375183984618712,0.00877512868072891,3.21353473136693,3.23098326895324,2.00843445666436,2.53132570627309,1.83723092311977,2.34483618995562,16.886851394462,15.3536429163982,8.40439610340048,10.7566891687275,6.7082671941274,9.56324670671858,0.0417922955046382,0.61611677831488,1.92577481141196e-12,0,1.4290397438523e-06,3.14191973167846e-35,46634.4030609847,43276.6571200768,4.48960913347124e-07,1.26305990752511e-06,0.0224589378644883,0.0749239359856548,-50.8030249999999,-39.4545495,-0.00085,-0.00101,-0.03137,-0.0558800000000001,-4.75379000000021,-8.69128999999987,0,0,-0.000450000000000006,-0.00293750000000004,12.973485,8.2897700000002,0,0,0.000409999999999966,0.00286000000000008,65.2916650000001,116.86023,0.000969999999999999,0.00109,0.02619,0.051713,0
2223.45395519481,86.4447946453544,324.512639999995,786.871380000016,2.42478000000001,8.75,28.4253400000006,20.1604000000004,48.8761900000007,2.42437,37.3853200000006,28.5111099999997,0.0148020079920082,0,18587.7101438505,5.20779063936063e-07,0,-0.26,-0.460081281281281,2.68e-06,3.9039039039039e-07,0,0,-1.74697630273702,-1.4358658186845,0.941624627890537,0.677888520370166,NaN,NaN,19.5614901176038,18.3342037306118,26.0699142443781,22.1265564880553,NaN,NaN,-598.76515,-583.91666,-0.00149,-0.00149,0,0,425.28788,473.651519999999,0.00149,0.00298,0,0,3198.24921825875,3475.99321800176,1.12808328717975e-08,2.60594031308909e-08,0,0,3.3003442720196,3.33797249044582,2.63873522254424,2.30012650769659,NaN,NaN,15.8754982206744,16.679152842378,14.2746359042329,9.48121130080898,NaN,NaN,0.580539901694743,0.0996498202587161,2.10613578619744e-11,2.84429647264698e-12,0,0,45419.3293477116,51938.6364795811,1.17397418955974e-07,2.38792361504405e-07,0,0,-52.8181850000001,-37.824995,-0.00017,-0.00047,0,0,-4.64393500000006,-8.18182499999978,0,0,0,0,13.2499949999999,7.54355750000013,0,0,0,0,65.75758,146.073479,0.00017,0.00047,0,0,0
2215.12741047952,67.2471591208796,2505.23859999999,3567.98811999998,1.42420999999998,41.7910399999993,72.2502600000006,51.280229999999,96.8612399999987,1.88886000000002,77.4976199999996,72.5212000000013,0.0137099999999998,0,2448.68342714759,4.41027154001395e-32,0,0.0441666700000001,-0.000697667667667177,0,0,0,0,-1.40696086738098,-2.89826933157025,NaN,NaN,NaN,NaN,23.2065387567298,29.6159778742292,NaN,NaN,NaN,NaN,-234.54546,-301.09091,0,0,0,0,177.54545,178.25757,0,0,0,0,373.665160937548,459.985596488145,0,0,0,0,3.05484077033286,3.52650030898214,NaN,NaN,NaN,NaN,16.6032603048207,20.6938080012004,NaN,NaN,NaN,NaN,0.00902205881785745,3.67764051073903e-05,0,0,0,0,5656.06300089641,6613.42676651753,0,0,0,0,-29.776515,-21.4640175000001,0,0,0,0,-3.54545499999995,-6.44698000000017,0,0,0,0,6.45454500000005,6.11552749999976,0,0,0,0,20.4886350000002,36.0321940000001,0,0,0,0,0
